id_show,show_type,title,cast,release_year,duration_mins,seasons,listed_in,company
14451,Movie,Cook Off,"Tendaiishe Chitima, Tendai Nguni, Jesese Mungoshi, Eddie Sandifolo, Charmaine Mujeri, Kudzai Sevenzo, Fungai Majaya, Eugene Zimbudzi, Chimwemwe Chipidza, Kevin Hanssen, Zihlo, Michael Kudakwashe",2017,100,0,"Comedies, International Movies, Romantic Movies",Netflix
14452,TV Show,Dear My Friends,"Shin Gu, Kim Yeong-Ok, Kim Hye-Ja, Na Mun-Hee, Ju Hyun, Youn Yuh-Jung, Park Won-Suk, Go Du-Sim, Ko Hyun-Jung",2016,0,1,"International Tv Shows, Korean Tv Shows, Tv Dramas",Netflix
14453,Movie,Kalek Shanab,"Saad Abdullah, Mohamed Alkendi, Ammar Rahma, Maria Khan, Msabeh Bin Hashim, Hani Abd Al Ghani, Zayed Mohammed Mahmoud, Khaled Abdullah",2019,80,0,"Comedies, International Movies",Netflix
14454,TV Show,Megalobox,"Yoshimasa Hosoya, Shiro Saito, Hiroki Yasumoto, Nanako Mori, Michiyo Murase, Hiroyuki Kinoshita",2018,0,1,"Anime Series, International Tv Shows",Netflix
14455,TV Show,Midnight Diner,"Kaoru Kobayashi, Toshiki Ayata, Mansaku Fuwa, Yutaka Matsushige, Ken Mitsuishi, Shohei Uno, Takashi Yamanaka, Kiyofumi Kaneko, Risa Sudou, Asako Kobayashi, Nahoko Yoshimoto, Joe Odagiri",2014,0,3,"International Tv Shows, Tv Dramas",Netflix
14456,Movie,Mirai,"Moka Kamishiraishi, Haru Kuroki, Gen Hoshino, Kumiko Aso, Mitsuo Yoshihara, Yoshiko Miyazaki, Koji Yakusho, Masaharu Fukuyama",2018,98,0,"Action & Adventure, Anime Features, Children & Family Movies",Netflix
14457,TV Show,My Shy Boss,"Yeon Woo-Jin, Park Hye-Su, Yoon Bak, Gong Seung-Yeon",2017,0,1,"International Tv Shows, Korean Tv Shows, Romantic Tv Shows",Netflix
14458,TV Show,Revolutionary Love,"Choi Si-Won, Kang So-Ra, Gong Myoung",2017,0,1,"International Tv Shows, Korean Tv Shows, Romantic Tv Shows",Netflix
14459,Movie,The Disaster Artist,"James Franco, Dave Franco, Seth Rogen, Josh Hutcherson, Ari Graynor, Alison Brie, Jacki Weaver, Zac Efron, Hannibal Buress, Jason Mantzoukas, Nathan Fielder, Paul Scheer, Megan Mullally, Sharon Stone, Tommy Wiseau",2017,104,0,"Comedies, Dramas",Netflix
14460,Movie,The Stolen,"Alice Eve, Jack Davenport, Graham Mctavish, Stan Walker, Richard O'Brien, Cohen Holloway, Stig Eldred, Emily Corcoran, Gillian Macgregor, Mikaela Ruegg",2016,98,0,Dramas,Netflix
14461,Movie,High Strung Free Dance,"Juliet Doherty, Thomas Doherty, Jane Seymour, Harry Jarvis, Joshua Sinclair-Evans, Ace Bhatti, Desmond Richardson, Kika Markham",2019,104,0,"Dramas, Music & Musicals, Romantic Movies",Netflix
14462,Movie,Freej Al Taibeen,"Ali Al Shehhi, Huda Al Ghanim, Muhammed Murshed, Yaser Alneyadi, Khaled Al-Nuaimi, Nasser Al-Dhahnani, Nawal Chamoun, Iman Husein",2018,99,0,"Comedies, Dramas, International Movies",Netflix
14463,Movie,Kenny Sebastian: The Most Interesting Person In The Room,Kenny Sebastian,2020,68,0,Stand-Up Comedy,Netflix
14464,TV Show,Space Force,"Steve Carell, John Malkovich, Ben Schwartz, Diana Silvers, Tawny Newsome, Jimmy O. Yang, Don Lake, Lisa Kudrow, Fred Willard, Spencer House, Owen Daniels, Hector Duran, Chris Gethard, Aparna Nancherla",2020,0,1,Tv Comedies,Netflix
14465,Movie,The Other,"Nabila Ebeid, Mahmoud Hemeida, Hanan Turk, Hani Salama, Lebleba, Hassan Abdel Hamid, Ezzat Abou Aouf, Ahmed Fouad Selim, Amr Saad, Ahmad Wafiq",1999,106,0,"Dramas, International Movies, Romantic Movies",Netflix
14466,TV Show,"Can'T Cope, Won'T Cope","Seána Kerslake, Nika Mcguigan, Sheila Moylette, Muiris Crowley, Steve Blount, Amy Huberman, Laurence O'Fuarain, Seán Óg Cairns, Hannah Sheehan, Peter Campion",2018,0,2,"Tv Comedies, Tv Dramas",Netflix
14467,TV Show,Dorohedoro,"Wataru Takagi, Reina Kondo, Kenyu Horiuchi, Yoshimasa Hosoya, Yu Kobayashi, Kengo Takanashi, Miyu Tomita, Toru Nara, Mitsuhiro Ichiki, Hisao Egawa, Soungdok, Mayu Udono, Anri Katsu, Shinichiro Miki, Hozumi Goda, Tetsu Inada, Takuma Terashima, Ryohei Kimura, Yuki Kaji",2020,0,1,"Anime Series, International Tv Shows",Netflix
14468,Movie,Grandmother'S Farm,"Saeed Al-Sheryani, Yaser Alneyadi, Khaled Al-Nuaimi, Abdullah Al Hamiri, Abdullah Al-Ramsi, Muhammed Murshed, Meera Ali, Am Rashed, Amal Mohammed, Aisha Al Suwaidi",2014,71,0,"Comedies, Horror Movies, International Movies",Netflix
14469,Movie,Grandmother'S Farm Part 2,"Mansour Al Felei, Saeed Al-Sheryani, Yaser Alneyadi, Khaled Al-Nuaimi, Abdullah Al Hamiri, Abdullah Al-Ramsi, Salama Almazrouei, Am Rashed, Aisha Al Suwaidi, Muhammed Murshed",2015,80,0,"Comedies, Horror Movies, International Movies",Netflix
14470,Movie,Intuition,"Luisana Lopilato, Joaquín Furriel, Rafael Ferro, Maite Lanata, Juan Manuel Guilera, Abel Ayala, Sebastián Mogordoy, Delfina Chaves, Marita Ballesteros, Miriam Odorico",2020,116,0,"Dramas, International Movies, Thrillers",Netflix
14471,TV Show,Mako Mermaids: An H2O Adventure,"Lucy Fry, Ivy Latimer, Amy Ruffle, Chai Romruen, Isabel Durant, Allie Bertram, Linda Ngo, Gemma Forsyth, Dominic Deutscher, Kerith Atkinson, Rowan Hills, Brooke Nichole Lee",2016,0,4,"Kids' Tv, Tv Comedies",Netflix
14472,Movie,I'M No Longer Here,"Juan Daniel García, Angelina Chen, Jonathan Espinoza, Coral Puente, Tania Alvarado, Fanny Tovar, Luis Leonardo Zapata, Yahir Alday, Leonardo Garza, Yocelin Coronado, Deyanira Coronado",2019,112,0,"Dramas, Independent Movies, International Movies",Netflix
14473,Movie,Hannah Gadsby: Douglas,Hannah Gadsby,2020,73,0,Stand-Up Comedy,Netflix
14474,Movie,Ne Zha,"Lü Yanting, Joseph, Han Mo, Chen Hao, Lü Qi, Zhang Jiaming, Yang Wei",2019,110,0,"Action & Adventure, Comedies, International Movies",Netflix
14475,TV Show,Supergirl,"Melissa Benoist, Mehcad Brooks, Chyler Leigh, Jeremy Jordan, David Harewood, Calista Flockhart, Emma Tremblay, Adrian Pasdar, Katie Mcgrath, David St. Louis, Odette Annable, Floriana Lima, Erica Durance",2019,0,5,"Tv Action & Adventure, Tv Sci-Fi & Fantasy",Netflix
14476,Movie,Uncut Gems,"Adam Sandler, Lakeith Stanfield, Kevin Garnett, Julia Fox, Idina Menzel, Eric Bogosian, Judd Hirsch, Abel Tesfaye",2019,135,0,"Dramas, Thrillers",Netflix
14477,TV Show,Betaal,"Viineet Kumar, Aahana Kumra, Suchitra Pillai, Jatin Goswami, Siddharth Menon, Manjiri Pupala, Yashwant Wasnik, Savita Bajaj, Jitendra Joshi, Syna Anand",2020,0,1,"International Tv Shows, Tv Action & Adventure, Tv Horror",Netflix
14478,TV Show,Dynasty,"Elizabeth Gillies, Nathalie Kelley, Grant Show, James Mackay, Rafael De La Fuente, Alan Dale, Sam Adegoke, Robert Christopher Riley",2019,0,3,Tv Dramas,Netflix
14479,Movie,One Day We'Ll Talk About Today,"Rachel Amanda, Rio Dewanto, Shelia Dara, Donny Damara, Susan Bachtiar, Oka Antara, Niken Anjani, Ardhito Pramono",2020,128,0,"Dramas, International Movies",Netflix
14480,Movie,Si Doel The Movie 3,"Rano Karno, Cornelia Agatha, Maudy Koesnaedi, Suty Karno, Mandra Naih, Aminah Tjendrakasih, Rey Bong, Akhmad Zulhoir Mardia",2020,93,0,"Dramas, International Movies, Music & Musicals",Netflix
14481,Movie,Living In Bondage: Breaking Free,"Swanky Jka, Kenneth Okonkwo, Ramsey Nouah, Enyinna Nwigwe, Nancy Isime, Shawn Faqua, Munachi Abii, Zulu Adigwe",2019,149,0,"Horror Movies, International Movies, Thrillers",Netflix
14482,Movie,Modest Heroes: Ponoc Short Films Theatre,"Fumino Kimura, Rio Suzuki, Machiko Ono, Sota Shinohara, Kentaro Sakaguchi, Joe Odagiri, Min Tanaka",2018,54,0,"Anime Features, Children & Family Movies",Netflix
14483,Movie,The Lovebirds,"Issa Rae, Kumail Nanjiani, Paul Sparks, Anna Camp, Kyle Bornheimer, Nicholas X. Parsons, Andrene Ward-Hammond, Catherine Cohen, Barry Rothbart",2020,87,0,"Action & Adventure, Comedies, Romantic Movies",Netflix
14484,TV Show,Trailer Park Boys: The Animated Series,"Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Pat Roach, Cory Bowles, Jacob Rolfe, Tyrone Parsons, Sarah Dunsworth, Jeanna Harrison, Marguerite Mcneil",2020,0,2,Tv Comedies,Netflix
14485,Movie,#Friendbutmarried,"Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila",2018,102,0,"Dramas, International Movies, Romantic Movies",Netflix
14486,Movie,Bye Bye London,"Abdulhussain Abdulredah, Ghanem Al-Saleh, Mariam Al-Ghadban, Dawood Hussain, Entesar Alsharah, Mohamed Gaber",1981,177,0,"Comedies, Dramas, International Movies",Netflix
14487,Movie,Fifty Year Old Teenager,"Abdulhussain Abdulredah, Haifaa Adel, Dawood Hussain, Mohamed Gaber",1996,204,0,"Comedies, International Movies",Netflix
14488,Movie,Lock Your Girls In,"Fouad El-Mohandes, Sanaa Younes, Sherihan, Ahmed Rateb, Ijlal Zaki, Zakariya Mowafi",1982,233,0,"Comedies, International Movies, Romantic Movies",Netflix
14489,Movie,Mujeres Arriba,"Loretto Bernal, Natalia Valdebenito, Alison Mandel, Matías Assler, Cristián Riquelme, Diego Casanueva, Samuel González, Consuelo Holzapfel, Esteban Rojas, Amanda Müller",2019,98,0,"Comedies, International Movies, Romantic Movies",Netflix
14490,TV Show,Mystic Pop-Up Bar,"Hwang Jung-Eum, Yook Sung-Jae, Choi Won-Young, Lee Jun-Hyeok, Jeong Da-Eun, Na In-Woo, Yeom Hye-Ran, Park Eun-Hye, Park Si-Eun, Song Geon-Hee, Kim Hee-Jung, Ahn Tae-Hwan",2020,0,1,"International Tv Shows, Korean Tv Shows, Tv Comedies",Netflix
14491,Movie,No Longer Kids,"Said Saleh, Hassan Moustafa, Ahmed Zaki, Younes Shalabi, Nadia Shukri, Karima Mokhtar",1979,237,0,"Comedies, Dramas, International Movies",Netflix
14492,Movie,Raya And Sakina,"Suhair El-Babili, Shadia, Abdel Moneim Madbouly, Ahmed Bedir",1984,230,0,"Comedies, Dramas, International Movies",Netflix
14493,Movie,Sayed The Servant,"Adel Imam, Omar El-Hariri, Raja Al-Jeddawi, Mostafa Mitwali, Moshira Ismail, Badr Nofal",1985,173,0,"Comedies, International Movies",Netflix
14494,Movie,The Married Couples,"Samir Ghanem, George Sidhum, Sherine, Nagah El-Mogui",1981,195,0,"Comedies, International Movies, Romantic Movies",Netflix
14495,Movie,The School Of Mischief,"Suhair El-Babili, Adel Emam, Saeed Saleh, Younes Shalabi, Hadi El-Gayyar, Ahmad Zaki, Hassan Moustafa",1973,253,0,"Comedies, Dramas, International Movies",Netflix
14496,Movie,The Witness Who Didn'T See Anything,"Adel Imam, Nahed Gabr, Omar El-Hariri, Nazim Sharawy, Badr Nofal, Saeed Tarabeek, Hala Fakher, Samir Waley Eldein, Sami Gawhar, Shawqi Shamekh, Nasr Seif",1976,157,0,"Comedies, International Movies",Netflix
